X,CH1,
878,-1.56e-01,
879,-1.36e-01,
880,-1.48e-01,
881,-1.28e-01,
882,-1.36e-01,
883,-1.20e-01,
884,-1.32e-01,
885,-1.12e-01,
886,-1.20e-01,
887,-1.00e-01,
888,-1.08e-01,
889,-9.20e-02,
890,-9.60e-02,
891,-8.00e-02,
892,-8.40e-02,
893,-6.80e-02,
894,-7.20e-02,
895,-5.20e-02,
896,-6.40e-02,
897,-4.40e-02,
898,-5.20e-02,
899,-3.20e-02,
900,-4.00e-02,
901,-1.60e-02,
902,-2.40e-02,
903,-4.00e-03,
904,-1.60e-02,
905,4.00e-03,
906,0.00e+00,
907,2.00e-02,
908,1.20e-02,
909,3.60e-02,
910,2.80e-02,
911,5.20e-02,
912,4.40e-02,
913,6.40e-02,
914,6.00e-02,
915,7.60e-02,
916,6.80e-02,
917,8.80e-02,
918,8.00e-02,
919,1.00e-01,
920,9.60e-02,
921,1.16e-01,
922,1.08e-01,
923,1.32e-01,
924,1.24e-01,
925,1.40e-01,
926,1.40e-01,
927,1.56e-01,
928,1.52e-01,
929,1.72e-01,
930,1.64e-01,
931,1.84e-01,
932,1.76e-01,
933,1.92e-01,
934,1.84e-01,
935,2.00e-01,
936,1.92e-01,
937,2.00e-01,
938,1.92e-01,
939,2.00e-01,
940,1.96e-01,
941,1.84e-01,
942,1.88e-01,
943,1.76e-01,
944,1.80e-01,
945,1.60e-01,
946,1.64e-01,
947,1.32e-01,
948,1.40e-01,
949,1.08e-01,
950,1.08e-01,
951,7.60e-02,
952,8.40e-02,
953,4.80e-02,
954,5.60e-02,
955,2.40e-02,
956,3.20e-02,
957,-8.00e-03,
958,-4.00e-03,
959,-4.40e-02,
960,-3.60e-02,
961,-7.60e-02,
962,-6.80e-02,
963,-1.04e-01,
964,-9.60e-02,
965,-1.28e-01,
966,-1.20e-01,
967,-1.56e-01,
968,-1.48e-01,
969,-1.80e-01,
970,-1.76e-01,
971,-2.04e-01,
972,-1.96e-01,
973,-2.20e-01,
974,-2.12e-01,
975,-2.32e-01,
976,-2.20e-01,
977,-2.40e-01,
978,-2.32e-01,
979,-2.52e-01,
980,-2.44e-01,
981,-2.60e-01,
982,-2.48e-01,
983,-2.68e-01,
984,-2.68e-01,
985,-2.52e-01,
986,-2.60e-01,
987,-2.72e-01,
988,-2.60e-01,
989,-2.72e-01,
990,-2.64e-01,
991,-2.80e-01,
992,-2.64e-01,
993,-2.80e-01,
994,-2.72e-01,
995,-2.60e-01,
996,-2.60e-01,
997,-2.72e-01,
998,-2.60e-01,
999,-2.72e-01,
1000,-2.68e-01,
1001,-2.52e-01,
1002,-2.68e-01,
1003,-2.48e-01,
1004,-2.64e-01,
1005,-2.44e-01,
1006,-2.52e-01,
1007,-2.36e-01,
1008,-2.48e-01,
1009,-2.32e-01,
1010,-2.32e-01,
1011,-2.48e-01,
1012,-2.40e-01,
1013,-2.28e-01,
1014,-2.36e-01,
1015,-2.20e-01,
1016,-2.32e-01,
1017,-2.12e-01,
1018,-2.20e-01,
1019,-2.04e-01,
1020,-2.16e-01,
1021,-1.96e-01,
1022,-2.04e-01,
1023,-1.88e-01,
1024,-1.92e-01,
1025,-1.76e-01,
1026,-1.84e-01,
1027,-1.64e-01,
1028,-1.72e-01,
1029,-1.60e-01,
1030,-1.68e-01,
1031,-1.48e-01,
1032,-1.56e-01,
1033,-1.44e-01,
1034,-1.48e-01,
1035,-1.28e-01,
1036,-1.36e-01,
1037,-1.16e-01,
1038,-1.24e-01,
1039,-1.08e-01,
1040,-1.16e-01,
1041,-1.00e-01,
1042,-1.04e-01,
1043,-9.20e-02,
1044,-1.00e-01,
1045,-8.00e-02,
1046,-8.40e-02,
1047,-6.40e-02,
1048,-7.20e-02,
1049,-4.80e-02,
1050,-5.60e-02,
1051,-3.60e-02,
1052,-4.40e-02,
1053,-2.80e-02,
1054,-3.20e-02,
1055,-1.20e-02,
1056,-2.00e-02,
1057,0.00e+00,
1058,-4.00e-03,
1059,1.60e-02,
1060,8.00e-03,
1061,2.40e-02,
1062,1.60e-02,
1063,3.60e-02,
1064,2.80e-02,
1065,4.80e-02,
1066,4.40e-02,
1067,6.80e-02,
1068,6.00e-02,
1069,8.40e-02,
1070,7.60e-02,
1071,9.60e-02,
1072,9.20e-02,
1073,1.08e-01,
1074,1.00e-01,
1075,1.20e-01,
1076,1.16e-01,
1077,1.36e-01,
1078,1.28e-01,
1079,1.52e-01,
1080,1.44e-01,
1081,1.68e-01,
1082,1.60e-01,
1083,1.84e-01,
1084,1.76e-01,
1085,1.88e-01,
1086,1.84e-01,
1087,2.00e-01,
1088,1.92e-01,
1089,2.04e-01,
1090,2.04e-01,
1091,1.96e-01,
1092,2.04e-01,
1093,1.92e-01,
1094,2.00e-01,
1095,1.80e-01,
1096,1.88e-01,
1097,1.68e-01,
1098,1.80e-01,
1099,1.52e-01,
1100,1.60e-01,
1101,1.32e-01,
1102,1.40e-01,
1103,1.12e-01,
1104,1.16e-01,
1105,8.00e-02,
1106,8.40e-02,
1107,4.80e-02,
1108,5.20e-02,
1109,1.20e-02,
1110,2.00e-02,
1111,-1.20e-02,
1112,-8.00e-03,
1113,-4.80e-02,
1114,-3.60e-02,
1115,-8.00e-02,
1116,-6.80e-02,
1117,-1.04e-01,
1118,-9.60e-02,
1119,-1.36e-01,
1120,-1.28e-01,
1121,-1.56e-01,
1122,-1.48e-01,
1123,-1.84e-01,
1124,-1.76e-01,
1125,-2.04e-01,
1126,-1.96e-01,
1127,-2.20e-01,
1128,-2.12e-01,
1129,-2.36e-01,
1130,-2.28e-01,
1131,-2.48e-01,
1132,-2.36e-01,
1133,-2.52e-01,
1134,-2.44e-01,
1135,-2.56e-01,
1136,-2.48e-01,
1137,-2.68e-01,
1138,-2.60e-01,
1139,-2.72e-01,
1140,-2.72e-01,
1141,-2.64e-01,
1142,-2.64e-01,
1143,-2.72e-01,
1144,-2.72e-01,
1145,-2.60e-01,
1146,-2.72e-01,
1147,-2.60e-01,
1148,-2.72e-01,
1149,-2.64e-01,
1150,-2.72e-01,
1151,-2.60e-01,
1152,-2.68e-01,
1153,-2.52e-01,
1154,-2.52e-01,
1155,-2.68e-01,
1156,-2.52e-01,
1157,-2.64e-01,
1158,-2.64e-01,
1159,-2.48e-01,
1160,-2.56e-01,
1161,-2.44e-01,
1162,-2.52e-01,
1163,-2.36e-01,
1164,-2.48e-01,
1165,-2.32e-01,
1166,-2.40e-01,
1167,-2.28e-01,
1168,-2.36e-01,
1169,-2.20e-01,
1170,-2.32e-01,
1171,-2.16e-01,
1172,-2.24e-01,
1173,-2.04e-01,
1174,-2.16e-01,
1175,-1.96e-01,
1176,-2.04e-01,
1177,-1.84e-01,
1178,-1.92e-01,
1179,-1.80e-01,
1180,-1.88e-01,
1181,-1.68e-01,
1182,-1.76e-01,
1183,-1.60e-01,
1184,-1.68e-01,
1185,-1.48e-01,
1186,-1.56e-01,
1187,-1.44e-01,
1188,-1.52e-01,
1189,-1.32e-01,
1190,-1.40e-01,
1191,-1.20e-01,
1192,-1.32e-01,
1193,-1.12e-01,
1194,-1.20e-01,
1195,-9.60e-02,
1196,-1.04e-01,
1197,-8.40e-02,
1198,-9.20e-02,
1199,-7.60e-02,
